pathway	description	sample100	sample111	sample112	sample113	sample114	sample115	sample126	sample127	sample128	sample129	sample130	sample141	sample142	sample143	sample144	sample145	sample156	sample157	sample158	sample159	sample160	sample171	sample172	sample173	sample174	sample175	sample186	sample187	sample188	sample189	sample190	sample201	sample202	sample203	sample204	sample205	sample216	sample217	sample218	sample219	sample220	sample231	sample232	sample233	sample234	sample235	sample246	sample247	sample248	sample249	sample250	sample261	sample262	sample263	sample264	sample265	sample276	sample277	sample278	sample279	sample280	sample291	sample292	sample293	sample294	sample295	sample306	sample307	sample308	sample309	sample31	sample310	sample32	sample321	sample322	sample323	sample324	sample325	sample33	sample336	sample337	sample338	sample339	sample34	sample340	sample35	sample351	sample352	sample353	sample354	sample355	sample366	sample367	sample368	sample369	sample370	sample381	sample382	sample383	sample384	sample385	sample396	sample397	sample398	sample399	sample400	sample411	sample412	sample413	sample414	sample415	sample426	sample427	sample428	sample429	sample430	sample441	sample442	sample443	sample444	sample445	sample456	sample457	sample458	sample459	sample46	sample460	sample47	sample471	sample472	sample473	sample474	sample475	sample48	sample486	sample487	sample488	sample489	sample49	sample490	sample50	sample501	sample502	sample503	sample504	sample505	sample516	sample517	sample518	sample519	sample520	sample531	sample532	sample533	sample534	sample535	sample61	sample62	sample63	sample64	sample65	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample96	sample97	sample98	sample99
PWY-6182	superpathway of salicylate degradation	0.0	0.0	0.0	0.0	0.0	6.0115	14.2766	0.0	0.0	9.2826	0.0	16.6183	0.0	5.1788	0.0	0.0	13.3785	0.0	0.0	5.3182	8.6817	2.0972	0.0	0.5692	7.7114	0.0	0.0	5.0139	4.4063	0.0	4.3235	4.0485	0.0	0.0	14.0782	0.0	0.0	0.0	1.2987	0.0	7.2325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1864	0.0	0.0	0.0	0.0	15.1506	8.7233	33.3073	0.0	2.0669	443.38699999999994	65.4118	0.0	0.0	0.0	860.4769	0.0	0.0	28.7539	1.0387	0.0	0.0	6.2107	729.0833	0.0	6.2928	12.0701	0.0	1395.5363	8.1061	5.6538	14.1391	9.5455	5.0741	0.0	2935.2763	0.0	0.9233	0.0	0.0	3789.6642	9.3396	5.723	10.3993	12.9667	957.5692	13.1937	0.0	17.2915	12.5224	1737.1831	0.0	0.0	6.2154	2.6552	0.0	0.0	85.9592	0.0	1.042	0.0	1.4636	0.0	0.0	0.0	0.0	3.6352	11.203	0.0	0.0	0.0	0.0	7.4409	10.1811	12.288	5.9118	0.0	0.0	0.0	14.9569	0.0	0.0	0.0	0.0	6.4877	7.0502	9.4486	10.4399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2695	1.0411	0.0	2.9688	0.0	0.0	1.4963	10.5	5.2217	3.1015	19.7231	15.3049	0.0	9.0057	4.53	0.0	0.0	0.0	0.0	0.0	3.4019	4.0904	0.0	0.0
PWY-6185	4-methylcatechol degradation (ortho cleavage)	0.0	0.0	0.0	0.0	0.0	5.6160000000000005	12.6074	0.0	0.0	7.2591	0.0	16.4704	0.0	4.0348	0.0	0.0	11.53	0.0	0.0	4.7755	8.8232	1.5817	0.0	0.5447	7.2229	0.0	0.0	2.8002	4.4088	0.0	3.9179	3.3037	0.0	0.0	14.4	0.0	0.0	0.0	1.324	0.0	6.5985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3973	0.0	0.0	7.1315	13.4255	0.0	0.0	0.0	11.1114	7.5821	19.839000000000002	0.0	1.8988	407.5253	60.1745	0.0	0.0	0.0	791.3369	0.0	0.0	19.46	0.9551	0.0	0.0	5.7075	657.8427	0.0	5.621	8.8866	0.0	1288.5232	7.7574	5.25	12.3998	8.9109	4.4737	0.0	2719.3549	0.0	0.5498	0.0	0.0	3570.2275	7.8864	4.228	9.3273	12.8103	881.3092	11.1975	0.0	15.9279	8.8811	1606.8152	0.0	0.0	5.2139999999999995	2.3506	0.0	0.0	78.9833	0.0	0.9570000000000001	0.0	1.4347	0.0	0.0	0.0	0.0	3.6681	9.59	0.0	0.0	0.0	0.0	6.8528	9.5996	11.2325	3.7227	0.0	0.0	0.0	12.9989	0.0	0.0	0.0	0.0	2.6421	6.3335	7.9405	9.3989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6449	0.9565	0.0	2.5553	0.0	0.0	1.3947	10.4348	4.7338	2.3494	17.6788	13.0127	0.0	8.4267	4.0856	0.0	0.0	0.0	0.0	0.0	3.2853	2.4996	0.0	0.0
PWY-621	sucrose degradation III (sucrose invertase)	27009.506	49664.8578	24656.7222	25838.8941	22184.7669	41276.394	49356.1437	17682.6803	36427.2788	39010.5528	28486.2087	12876.8254	30259.1871	45541.2224	22166.7674	30549.4326	65392.7307	40983.9844	50440.5319	45812.6944	108565.2887	33286.4977	34051.2598	103752.1774	29393.6651	44216.7401	15894.6299	35081.1685	27240.4549	25155.1821	23654.4616	30119.8494	30890.7624	41600.6505	17347.6125	30022.4395	46985.6962	20515.6977	28916.9611	15162.3522	13335.0696	26384.1142	21431.2111	49682.2904	14478.9694	30220.7872	14724.3476	17261.3833	29601.671000000002	10347.5604	19124.3877	14845.5699	12285.714	21258.1717	9609.7173	23968.1329	34279.9371	27709.3838	39403.0358	41014.8422	30001.318	45655.5403	107254.4961	42687.3734	99411.8601	76671.8072	37207.8055	119363.0199	25715.6951	70560.0042	53466.0625	70039.6715	44177.2927	45645.0125	25909.5271	29266.9498	37221.352999999996	58498.489	34665.4889	57698.5982	56434.3292	42720.6801	66212.3685	63521.4318	117340.8425	55141.8071	24481.0873	48104.3397	58978.7476	41759.4541	63616.0201	30961.2163	48864.7725	32343.8382	64035.7294	68965.7544	53795.4693	74793.9754	64599.1302	62298.3576	86060.7779	18800.5827	61265.8568	44683.9758	57893.6659	45428.9102	37920.8066	35165.9732	31611.0325	32359.3348	30404.6018	91683.0318	59887.775	72755.6726	24804.1286	17445.2516	27147.8176	26260.5733	44095.0053	16754.1879	38259.2834	25474.7139	43497.3693	51767.9888	18597.9635	31787.2642	60498.1605	33009.6464	9308.0958	6466.3217	12267.3491	9630.0495	45559.8025	38365.7542	7357.345	15195.6155	12445.0032	26973.0402	31484.9316	36693.7738	40238.4251	10681.0699	14751.3091	23687.937	10200.9474	14789.4625	31339.0477	52691.8972	46033.3426	15904.1234	27027.8035	36076.768	28444.2506	41130.1279	52579.8062	60627.568	23038.5246	36541.5301	64074.7351	18967.8343	23308.0742	27566.9099	26888.652000000002	37563.0583	17214.6812	34263.3294	21189.2457	31790.0413	22982.6594	13286.6934	39716.5973	15213.5116	36086.9196	10148.0916	7408.974
PWY-6210	2-aminophenol degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6263	superpathway of menaquinol-8 biosynthesis II	65.9115	641.6051	458.5794	3513.6792	874.013	1555.2242	21086.5066	846.3309	8933.0179	9230.4508	3041.808	3764.9912	8697.0052	29223.5198	23850.3019	22379.8572	4388.7477	2744.8711	3603.5981	8900.5694	11192.3862	713.5584	1235.0409	1039.7303	7604.1823	3037.1426	6987.9145	4287.7843	798.8501	4687.2292	1377.2459	2229.5176	2857.9213	2185.8739	1272.4044	1852.0901	13707.186000000002	2990.4538	4146.8083	1712.8328	1836.2732	3244.2908	5599.8662	4761.2467	2772.9499	8589.9658	1091.1189	1861.1617	2294.5623	2234.1026	3150.7786	1881.0375	2622.5498	7475.5251	805.0654	3128.9452	4367.4792	5110.4604	10026.5472	3382.5744	4412.1186	672.4784	3599.9298	9168.6098	593.0773	2284.8878	3817.3781	2373.9126	5574.432	1616.8544	8293.8765	736.1652	1988.7087	1351.6747	597.6746	2620.3514	5863.4265	3927.1879	3064.5334	3306.5009999999997	1954.6145	11841.3507	4718.7953	3820.9396	4469.751	5593.0842	1113.8423	3270.1609	24164.5324	3427.8849	5491.6712	1780.1659	1361.4327	5854.1993	2412.6909	6940.1384	5921.3301	2984.9214	8993.3137	1997.8691	4182.4963	4611.1522	1482.328	4552.8298	2914.472	1115.4266	30566.3603	44555.7126	44363.6961	27292.7441	80791.9623	19877.716	5530.6024	22559.2529	12579.7851	6131.4104	16206.8729	20452.0229	12279.0234	10755.8275	18315.9029	17182.4704	30024.603	9298.0364	7067.2259	7621.1654	9726.5911	3927.679	15081.9574	6150.2612	11301.9781	8269.3645	10076.7459	1548.8987	8116.3906	32348.9049	7300.4934	38712.5419	2663.7598	6434.4236	1373.3966	12429.8048	12791.0938	18491.4279	8709.5119	27479.0882	10811.3835	16145.1505	2053.4206	2264.1284	4709.4665	8281.5783	4855.6626	7051.646	7311.9894	5545.0379	310.4415	209.5223	532.9371	443.3117	363.8677	873.8682	245.4231	1373.2007	639.5934	171.4489	98.7021	88.057	75.1813	146.2135	137.9452	58.4121	609.3476	102.9009	221.9159
PWY-6269	adenosylcobalamin salvage from cobinamide II	15001.3707	15408.6237	11185.8652	12491.1854	17598.9004	14336.3267	21490.8354	21199.5071	13326.9784	29420.5195	19484.0862	7743.9642	16300.2659	21165.5215	18797.2866	20070.5162	32376.1454	15116.1659	27531.6425	17378.8115	72346.004	13923.9864	5688.4551	64548.2464	10974.1293	17679.769	4669.3184	10284.966	7558.9238	9148.3634	5811.8341	12080.1549	12359.378	14109.6434	8893.0249	13174.6833	20544.7614	8249.7958	11870.1098	8363.179	6332.7104	8958.9693	9203.2758	14531.6421	6573.6732	12686.153	3329.9687	6866.9678	5154.4008	5515.8548	9795.3649	8068.3862	7732.9717	11644.2606	5688.4093	10638.5281	18346.2838	11860.0519	21596.3076	25019.3064	9781.9812	8924.9662	11027.9167	9875.1448	23173.3592	5986.0537	8353.6895	12857.9266	7868.66	6249.2909	33992.8236	12438.0636	29937.4879	10779.6092	8818.3312	15219.4436	7141.9373	16710.2902	33557.9814	10289.6514	22033.1546	11141.4117	39583.2461	28321.6545	51630.6027	47201.7114	6469.9535	32454.8633	17945.7219	28035.7863	40683.1287	13498.0831	34947.3841	13112.2822	42771.2328	42609.309	28817.092999999997	54171.1766	15227.8311	43163.1163	56438.5396	9743.3257	44248.1602	12187.4187	40655.9933	35089.5499	31635.9739	33331.4409	36037.0016	25770.7018	31728.627	26859.215	13070.6333	24859.9994	7823.9248	3796.5953	15437.7785	15033.4534	18597.506	6875.2584	13593.3409	13167.1945	20736.6992	8034.5222	5908.4039	25277.72	6905.2697	24837.3379	8230.9829	3704.7614	7194.7527	4948.1669	11621.1114	28481.9704	4875.3452	11201.6115	7340.081999999999	13732.3362	21528.2457	4931.2368	20726.691000000003	6051.3204	11213.1274	11273.9772	6841.2988	16725.0813	22326.8747	46533.0005	7659.8661	5916.9997	13514.4481	22644.4861	13041.783000000001	12725.3725	14782.9296	14310.5008	25153.5236	29236.1895	16884.6343	15630.785	20599.918999999998	23348.9996	28775.8172	14823.6583	26631.692000000003	20251.6214	11340.8021	26919.5749	16901.5064	18966.0033	23499.935	8676.4149	21654.6772	7685.4818	7672.234
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	55659.6661	73126.2911	41028.9111	54655.4715	57738.5194	67977.0883	75492.1454	73887.5902	65396.3507	79807.2263	89972.2521	29242.8443	50275.7134	99879.2413	52732.4996	75319.3014	65823.0749	48079.8963	48798.0175	56959.6636	107715.1173	51558.467000000004	62652.1545	101210.9264	67511.9166	72737.2059	34090.5006	50533.2741	45633.1963	51356.3247	48683.2781	64288.0471	69510.1478	93345.8697	56834.6736	74878.85	86161.7532	75693.7879	96933.7974	58011.5467	59395.6529	60582.3081	61088.794	80714.7442	40701.2064	71229.7659	50920.6931	76670.9856	52508.7839	42496.1844	80261.7749	43440.6296	46050.1655	62187.7107	44838.3626	76327.0947	46025.0704	50918.3079	59074.9957	56476.7647	36186.3886	52914.5104	101368.5672	59106.5522	89773.1765	70984.9648	51826.7813	123193.4925	36069.0246	65020.3222	64005.9026	73477.9968	57589.9673	61659.4552	41041.0939	39813.5714	52334.9316	60351.2389	61875.4361	65307.0164	90296.9085	81118.4201	88747.4425	66732.4197	121661.586	77631.9061	44733.3229	80427.3866	100189.0578	53785.2972	92347.2023	97734.4784	91860.0558	33345.753	98200.8111	98491.2458	121650.414	105664.0854	56023.5136	103027.1689	102882.3783	43811.8511	81617.3533	41853.9809	82827.5936	76504.7462	86407.1055	98143.3192	93851.6744	64366.4788	166991.2723	125033.4614	81464.2176	96695.9992	49486.3888	73339.5424	71643.9811	66369.3396	89360.0077	39636.0574	86782.2631	64220.9325	96313.1519	81826.5446	39737.6578	49966.5434	86247.1077	65025.0336	60256.6423	62047.332	59221.4603	51901.9215	58828.0339	73993.5422	38651.7658	84342.0013	60635.6225	93982.0217	67766.7652	48064.6155	87670.4387	43701.2926	90412.4917	63971.517	66574.5063	61037.7621	43639.9084	81331.092	48371.3614	29024.278	36655.9556	46348.0213	33516.9751	49290.8733	52978.245	56362.0914	45621.3138	56292.6339	77637.1637	49557.3498	63294.9872	43184.8653	60988.3857	48523.2987	59181.4015	52003.8712	39930.0333	64302.6478	59599.1141	49998.3996	68262.5778	51447.8946	76091.07	41089.9428	32007.4292
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	27987.2864	32030.2811	23480.0879	19230.0556	16860.56	27515.1328	32663.7334	37702.4083	21922.1372	30012.3042	33623.3396	4764.9468	6467.8632	13527.1075	4695.91	14677.1603	2153.0833	3859.0861	2232.4194	1883.0928	2560.3225	1289.7775	919.5798	1094.2246	1553.2924	1197.2914	790.1934	715.2896	972.2293	1030.8286	1075.6263	1635.9182	1694.3513	2522.9649	1201.4883	1012.9784	4970.9025	1696.631	3577.0561	6057.1587	2229.2646	3512.3508	1659.7929	3219.8179	3497.0158	3733.1747	2314.4365	2462.5168	1306.9326	2121.4947	4217.9678	3091.5107	2156.9155	1935.5909	2192.9104	2970.8493	4454.3813	8591.2962	41386.8025	20256.5775	5926.3493	1890.2192	4233.9825	50851.7418	16004.2258	5439.996999999999	1615.8849	2513.1954	31693.6143	2929.0651	37763.1479	3027.7062	26389.4899	1752.8039999999999	1241.4949	3718.8603	40638.0582	1649.9327	46891.6452	1582.4527	2905.1403	56655.6052	4496.2053	35175.4653	5540.0876	46584.4339	1338.7220000000002	2843.6702	65561.2661	2793.7563	2975.5237	1656.9332	2402.6543	32265.5758	2634.6305	2301.5413	5835.4490000000005	6049.4973	60464.984000000004	10118.7164	7056.0158	1574.5574	4985.4845	46757.0657	6175.0331	4577.1214	28023.1122	6702.6696	6568.2751	2800.0405	42968.2141	63282.8114	38080.45	45974.067	6573.2175	22353.2384	17520.0415	4542.3759	13899.7372	1877.3532	54337.9706	7990.5478	4864.907	6131.649	1564.1798	33907.4274	76207.105	39147.6922	1485.0517	859.2109	2471.2034	1607.4002	51720.4728	47221.8248	1797.9964	1499.2651	3378.1294	4347.6569	34945.2811	46852.4453	50359.23	1240.4089	2649.6768	3967.1220000000003	1676.5609	3415.8886	1523.4057	2079.0025	1117.785	1087.0216	2042.6396	4023.6068	3017.4136	3937.2099	4565.373	5194.3783	30320.3172	42281.3583	38748.9514	29250.243	43410.0197	25787.1846	47572.2556	33612.4448	34063.7777	38174.2938	23039.1588	51352.3493	32632.422000000002	32565.6202	48134.4309	17293.6765	41375.7623	15062.2895	8561.743
PWY-6317	galactose degradation I (Leloir pathway)	29242.4685	47212.8663	24702.5261	34748.9802	40463.5863	41074.2315	50060.1884	58642.8552	47657.4511	63698.48	67137.2494	17015.1374	32455.2176	35510.1444	23973.2044	33880.3474	41494.2354	25100.8952	29344.3626	41569.1396	44095.6391	26862.7985	39699.9039	35047.1446	36904.0632	38810.0728	21227.1639	34007.446	27978.3564	31209.6345	28211.3324	39504.8557	43821.475999999995	47149.8036	25236.1551	39962.6757	53854.0948	40275.7069	38483.3541	28696.3162	33326.9904	32215.8648	29457.6844	50729.2991	19993.7591	38983.1573	22435.0818	31420.0706	30805.247000000003	19089.1891	33626.975	21069.5202	22665.2525	42982.4995	24136.7251	41130.3628	33008.7335	29799.7702	41826.2342	37330.4989	27040.2785	19947.1638	46278.2658	47952.1549	34348.1766	23996.0403	23839.6402	49948.3951	25676.3299	16581.1493	51502.6493	28005.1258	41057.7001	31554.1624	12457.5345	17735.2301	38681.9351	41218.5651	36487.9373	38189.5026	27125.2343	44258.8181	30945.0764	57441.6486	66794.5496	53496.1478	19565.0755	27971.4933	60357.4554	15515.7943	36887.7692	73596.3476	22403.0672	26070.747000000003	27226.7806	36494.2043	73636.0759	43223.8462	55093.8914	28559.8874	29376.5121	22225.3589	18819.6838	40735.2489	20238.1057	14212.0759	43853.3359	42857.8012	39280.0484	35147.4094	53887.9419	25223.391	20084.0141	36364.6642	18453.7656	25852.342999999997	26354.9492	30717.8691	44168.6806	16827.535	47220.4819	24187.2789	44992.0666	32567.4805	23733.6958	35794.006	63223.0499	38581.2352	23345.0511	24958.9654	24188.1868	23693.7235	44272.3515	44774.4622	14597.1951	33234.0602	30997.8415	35195.0116	39001.4596	38210.9441	42801.9971	19788.7835	47868.2206	25761.3692	37672.2918	18476.7896	30344.3	55403.5761	45042.9739	24220.5776	27606.1666	31590.4944	25731.5185	33100.3331	41584.4528	45875.3983	31901.696	42215.175	57253.4362	26992.7038	29092.9334	34405.6355	34654.7361	34669.8761	39261.1476	35386.932	25103.7026	37528.4592	40659.5735	28073.0746	43240.2143	17316.9685	37766.8997	18077.8521	23229.6429
PWY-6338	superpathway of vanillin and vanillate degradation	0.0	0.0	0.0	0.0	10.9935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.9566	0.0	0.0	15.9533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9763	0.0	4.8698	0.0	0.0	0.0	0.0	0.0	0.0	17.2352	17.4541	6.1368	0.0	0.0	0.0	0.0	0.0	0.0	9.345	3.1155	0.0	0.0	0.0	4.3636	4.3574	0.0	0.0	0.0	0.0	9.4814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6339	syringate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.7656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.7884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6349	CDP-archaeol biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6350	archaetidylinositol biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6353	purine nucleotides degradation II (aerobic)	4315.7331	3159.9716	4567.1056	4844.7013	8301.9909	2954.1787	3247.6845	4172.5963	3328.3576	10659.7459	3107.0596	11529.3016	12862.8683	16101.0607	11912.3856	8394.1143	11203.6613	7093.4143	9082.4973	14586.2891	7488.2178	2417.1783	8364.3724	2636.9082	12933.4563	7038.3161	4634.696	21874.4113	3092.8021	10562.9798	5637.8115	6632.2364	20433.1877	7460.4906	3198.4902	7965.7284	22060.8083	7206.0367	6540.8645	3863.5521	2909.4622	11750.4025	12633.2676	16990.5892	6893.5162	17866.2398	1530.3524	5420.0744	7395.0266	3540.1418	7757.5612	13036.3248	7955.7154	10209.5723	3810.6314	8744.1446	20000.5535	17315.5813	53991.6986	35972.5968	15863.1238	3619.6399	13285.4214	62147.8521	25821.4718	13858.0819	5330.6457	8762.7804	32746.2168	9560.9057	28855.1201	6789.2907	26207.4855	11096.288999999999	1363.1914	9188.1412	47302.237	9175.3442	24049.6194	6857.4962	6495.03	57784.9355	10753.9464	20498.2398	16402.3999	32348.9487	845.2719	5914.7533	75852.4264	6723.6448	9980.3162	4409.8543	4382.0723	31827.8135	8169.8859999999995	13663.0442	6471.4712	12772.9427	69014.9115	15817.3476	9785.2869	7390.3978	4603.1009	50855.1325	8871.4492	3296.8013	26647.7855	24725.0611	22175.1924	20047.748	71666.4413	16194.465	20274.3024	11392.8068	12185.7674	39379.608	14515.6967	13491.4166	10837.7167	13111.3934	65726.267	9306.8146	21064.8607	11565.0847	20947.4232	20638.2718	80082.2254	17684.3261	4782.0105	1731.8418	3469.2168	3270.1076	54421.7453	10012.8571	1539.487	8260.3581	3654.2928	26448.0011	23378.0396	48304.9753	10405.225	1729.8094	6224.7644	6488.4309	5107.3646	11625.7094	17132.643	36365.2307	6750.2039	5951.0201	15113.9968	17928.6521	11010.0352	11477.1152	13719.3271	12299.6938	24257.8688	16594.3289	11787.0614	9291.9582	8836.7959	19579.7538	26909.9752	8203.927	27416.735	18657.8016	9052.9909	20807.772	5398.0481	19879.4761	20970.2048	1540.9803	9034.8202	806.8163	2733.2792
