#SampleID	forward-absolute-filepath	reverse-absolute-filepath	Figure	Mice_ID	Day	If_longitudinal	Group	Time	Sample_description
#q2:types	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical
sample82	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-07_S43_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-07_S43_L001_R2_001.fastq	1d	7	6	Yes	Inulin	Morning	D06_07_CageNo.2
sample83	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-08_S44_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-08_S44_L001_R2_001.fastq	1d	8	6	Yes	Inulin	Morning	D06_08_CageNo.2
sample84	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-09_S45_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-09_S45_L001_R2_001.fastq	1d	9	6	Yes	Inulin	Morning	D06_09_CageNo.1
sample85	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-01_S46_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-01_S46_L001_R2_001.fastq	1d	1	7	Yes	Inulin	Morning	D07_01_CageNo.1
sample86	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-02_S47_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-02_S47_L001_R2_001.fastq	1d	2	7	Yes	Inulin	Morning	D07_02_CageNo.2
sample87	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-03_S48_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-03_S48_L001_R2_001.fastq	1d	3	7	Yes	Inulin	Morning	D07_03_CageNo.3
sample88	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-04_S49_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-04_S49_L001_R2_001.fastq	1d	4	7	Yes	Inulin	Morning	D07_04_CageNo.3
sample89	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-05_S50_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-05_S50_L001_R2_001.fastq	1d	5	7	Yes	Inulin	Morning	D07_05_CageNo.3
sample90	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-06_S51_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-06_S51_L001_R2_001.fastq	1d	6	7	Yes	Inulin	Morning	D07_06_CageNo.1
sample91	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-07_S52_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-07_S52_L001_R2_001.fastq	1d	7	7	Yes	Inulin	Morning	D07_07_CageNo.2
sample92	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-08_S53_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-08_S53_L001_R2_001.fastq	1d	8	7	Yes	Inulin	Morning	D07_08_CageNo.2
sample93	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-09_S54_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D07-09_S54_L001_R2_001.fastq	1d	9	7	Yes	Inulin	Morning	D07_09_CageNo.1
sample94	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-01_S55_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-01_S55_L001_R2_001.fastq	1d	1	10	Yes	Inulin	Morning	D10_01_CageNo.1
sample95	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-02_S56_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-02_S56_L001_R2_001.fastq	1d	2	10	Yes	Inulin	Morning	D10_02_CageNo.2
sample96	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-03_S57_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-03_S57_L001_R2_001.fastq	1d	3	10	Yes	Inulin	Morning	D10_03_CageNo.3
sample97	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-04_S58_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-04_S58_L001_R2_001.fastq	1d	4	10	Yes	Inulin	Morning	D10_04_CageNo.3
sample98	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-05_S59_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-05_S59_L001_R2_001.fastq	1d	5	10	Yes	Inulin	Morning	D10_05_CageNo.3
sample99	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-06_S60_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-06_S60_L001_R2_001.fastq	1d	6	10	Yes	Inulin	Morning	D10_06_CageNo.1
sample100	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-07_S61_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-07_S61_L001_R2_001.fastq	1d	7	10	Yes	Inulin	Morning	D10_07_CageNo.2
sample101	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-08_S62_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-08_S62_L001_R2_001.fastq	1d	8	10	Yes	Inulin	Morning	D10_08_CageNo.2
sample102	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-09_S63_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D10-09_S63_L001_R2_001.fastq	1d	9	10	Yes	Inulin	Morning	D10_09_CageNo.1
sample103	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-01_S73_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-01_S73_L001_R2_001.fastq	1d	1	14	Yes	Inulin	Morning	D14_01_CageNo.1
sample104	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-02_S74_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-02_S74_L001_R2_001.fastq	1d	2	14	Yes	Inulin	Morning	D14_02_CageNo.2
sample105	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-03_S75_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-03_S75_L001_R2_001.fastq	1d	3	14	Yes	Inulin	Morning	D14_03_CageNo.3
sample106	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-04_S76_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-04_S76_L001_R2_001.fastq	1d	4	14	Yes	Inulin	Morning	D14_04_CageNo.3
sample107	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-05_S77_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-05_S77_L001_R2_001.fastq	1d	5	14	Yes	Inulin	Morning	D14_05_CageNo.3
sample108	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-06_S78_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-06_S78_L001_R2_001.fastq	1d	6	14	Yes	Inulin	Morning	D14_06_CageNo.1
sample109	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-07_S79_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-07_S79_L001_R2_001.fastq	1d	7	14	Yes	Inulin	Morning	D14_07_CageNo.2
sample110	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-08_S80_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-08_S80_L001_R2_001.fastq	1d	8	14	Yes	Inulin	Morning	D14_08_CageNo.2
sample111	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-09_S81_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D14-M-09_S81_L001_R2_001.fastq	1d	9	14	Yes	Inulin	Morning	D14_09_CageNo.1
